time,open,high,low,close,tick_volume,spread,real_volume
2025-08-07 06:16:00,114704.22,114747.72,114679.53,114735.02,371,980,0
2025-08-07 06:17:00,114734.98,114766.27,114726.9,114760.18,388,980,0
2025-08-07 06:18:00,114761.62,114773.23,114752.97,114754.42,395,980,0
2025-08-07 06:19:00,114754.42,114773.9,114751.27,114762.85,373,980,0
2025-08-07 06:20:00,114765.09,114766.98,114690.71,114690.71,420,980,0
2025-08-07 06:21:00,114690.06,114722.24,114658.28,114697.85,379,980,0
2025-08-07 06:22:00,114697.62,114720.41,114697.1,114709.72,383,980,0
2025-08-07 06:23:00,114709.85,114739.32,114699.38,114739.32,371,980,0
2025-08-07 06:24:00,114739.32,114743.61,114706.68,114732.42,364,980,0
2025-08-07 06:25:00,114732.09,114739.24,114683.36,114689.16,339,980,0
2025-08-07 06:26:00,114688.98,114695.36,114684.38,114692.19,359,980,0
2025-08-07 06:27:00,114692.43,114695.64,114664.63,114669.32,399,980,0
2025-08-07 06:28:00,114667.26,114676.22,114639.62,114650.92,384,980,0
2025-08-07 06:29:00,114651.33,114657.43,114634.03,114639.59,397,980,0
2025-08-07 06:30:00,114636.69,114675.74,114615.15,114625.19,390,980,0
2025-08-07 06:31:00,114623.46,114624.57,114576.24,114617.42,413,980,0
2025-08-07 06:32:00,114617.26,114635.57,114606.44,114634.12,381,980,0
2025-08-07 06:33:00,114634.06,114672.84,114632.69,114657.85,343,980,0
2025-08-07 06:34:00,114657.93,114675.79,114657.34,114664.75,376,980,0
2025-08-07 06:35:00,114664.77,114673.58,114612.87,114615.81,389,980,0
2025-08-07 06:36:00,114616.04,114646.07,114615.37,114645.07,394,980,0
2025-08-07 06:37:00,114644.81,114645.51,114626.15,114632.2,403,980,0
2025-08-07 06:38:00,114632.43,114649.3,114632.43,114639.17,405,980,0
2025-08-07 06:39:00,114639.03,114650.08,114637.0,114645.44,407,980,0
2025-08-07 06:40:00,114645.11,114671.85,114636.11,114666.27,395,980,0
2025-08-07 06:41:00,114667.29,114669.76,114665.25,114667.8,417,980,0
2025-08-07 06:42:00,114667.81,114682.46,114651.29,114661.17,344,980,0
2025-08-07 06:43:00,114661.08,114663.21,114651.03,114662.42,366,980,0
2025-08-07 06:44:00,114662.36,114680.25,114661.12,114676.54,347,980,0
2025-08-07 06:45:00,114677.04,114783.62,114676.24,114781.38,408,980,0
2025-08-07 06:46:00,114779.5,114779.5,114703.49,114763.03,373,980,0
2025-08-07 06:47:00,114763.03,114871.77,114763.03,114824.34,421,980,0
2025-08-07 06:48:00,114828.69,114892.44,114816.13,114817.77,404,980,0
2025-08-07 06:49:00,114818.32,114857.13,114818.31,114837.3,388,980,0
2025-08-07 06:50:00,114837.88,114860.03,114808.26,114810.04,375,980,0
2025-08-07 06:51:00,114811.64,114848.66,114810.35,114810.35,374,980,0
2025-08-07 06:52:00,114810.35,114813.53,114797.04,114808.87,423,980,0
2025-08-07 06:53:00,114811.17,114835.34,114789.67,114835.26,407,980,0
2025-08-07 06:54:00,114834.92,114834.92,114793.22,114797.66,375,980,0
2025-08-07 06:55:00,114798.28,114802.46,114755.4,114762.2,412,980,0
2025-08-07 06:56:00,114761.59,114762.66,114744.84,114750.15,427,980,0
2025-08-07 06:57:00,114750.51,114788.57,114744.92,114766.2,380,980,0
2025-08-07 06:58:00,114766.76,114773.66,114737.55,114748.12,376,980,0
2025-08-07 06:59:00,114748.36,114750.7,114739.94,114750.02,404,980,0
2025-08-07 07:00:00,114750.13,114759.15,114726.4,114753.4,384,980,0
2025-08-07 07:01:00,114753.3,114799.27,114751.96,114798.51,368,980,0
2025-08-07 07:02:00,114798.51,114850.62,114794.22,114839.09,394,980,0
2025-08-07 07:03:00,114839.19,114862.64,114839.19,114854.58,401,980,0
2025-08-07 07:04:00,114856.74,114877.24,114841.44,114874.49,392,980,0
2025-08-07 07:05:00,114874.71,114879.51,114820.92,114821.51,413,980,0
2025-08-07 07:06:00,114822.45,114840.63,114821.08,114837.43,419,980,0
2025-08-07 07:07:00,114837.55,114863.32,114833.5,114851.83,397,980,0
2025-08-07 07:08:00,114852.06,114861.09,114839.42,114851.9,375,980,0
2025-08-07 07:09:00,114851.27,114892.65,114840.52,114889.04,370,980,0
2025-08-07 07:10:00,114889.45,114889.45,114844.43,114849.56,408,980,0
2025-08-07 07:11:00,114849.68,114858.87,114838.65,114840.43,406,980,0
2025-08-07 07:12:00,114840.39,114882.06,114840.04,114860.13,374,980,0
2025-08-07 07:13:00,114860.24,114881.24,114845.0,114871.08,406,980,0
2025-08-07 07:14:00,114872.25,114899.03,114870.03,114888.65,377,980,0
2025-08-07 07:15:00,114887.93,114890.31,114850.65,114860.73,371,980,0
2025-08-07 07:16:00,114859.22,114899.07,114858.61,114886.11,379,980,0
2025-08-07 07:17:00,114885.93,114893.83,114853.04,114858.13,377,980,0
2025-08-07 07:18:00,114857.71,114925.17,114853.17,114910.53,408,980,0
2025-08-07 07:19:00,114909.92,114922.05,114908.55,114918.59,404,980,0
2025-08-07 07:20:00,114918.73,114920.89,114885.87,114900.69,376,980,0
2025-08-07 07:21:00,114901.01,114909.6,114884.15,114892.76,378,980,0
2025-08-07 07:22:00,114892.98,114992.15,114891.92,114931.18,403,980,0
2025-08-07 07:23:00,114930.36,114991.77,114928.42,114964.34,392,980,0
2025-08-07 07:24:00,114964.21,114979.65,114960.29,114961.43,382,980,0
2025-08-07 07:25:00,114961.49,114970.73,114907.99,114912.95,364,980,0
2025-08-07 07:26:00,114912.65,114930.0,114870.3,114930.0,386,980,0
2025-08-07 07:27:00,114930.45,114930.85,114895.43,114915.1,382,980,0
2025-08-07 07:28:00,114914.71,114939.06,114905.9,114932.32,378,980,0
2025-08-07 07:29:00,114932.15,114939.04,114930.22,114931.78,362,980,0
2025-08-07 07:30:00,114932.12,114938.35,114926.71,114929.3,387,980,0
2025-08-07 07:31:00,114929.06,114931.48,114907.37,114910.7,383,980,0
2025-08-07 07:32:00,114910.68,114921.38,114899.51,114921.38,366,980,0
2025-08-07 07:33:00,114921.5,114958.3,114911.66,114927.67,343,980,0
2025-08-07 07:34:00,114927.95,114928.82,114880.9,114892.35,364,980,0
2025-08-07 07:35:00,114890.85,114892.81,114853.56,114855.94,391,980,0
2025-08-07 07:36:00,114855.45,114868.83,114855.12,114857.54,388,980,0
2025-08-07 07:37:00,114857.5,114902.94,114857.5,114892.23,380,980,0
2025-08-07 07:38:00,114892.06,114892.06,114856.56,114862.15,379,980,0
2025-08-07 07:39:00,114862.32,114873.23,114860.46,114864.6,401,980,0
2025-08-07 07:40:00,114864.98,114906.29,114864.76,114892.45,387,980,0
2025-08-07 07:41:00,114892.84,114896.02,114864.97,114879.28,382,980,0
2025-08-07 07:42:00,114879.14,114879.14,114857.83,114860.36,370,980,0
2025-08-07 07:43:00,114860.25,114861.44,114836.64,114838.78,383,980,0
2025-08-07 07:44:00,114838.11,114844.21,114836.12,114837.46,377,980,0
2025-08-07 07:45:00,114837.21,114857.27,114835.47,114845.72,396,980,0
2025-08-07 07:46:00,114845.67,114882.99,114844.81,114878.95,381,980,0
2025-08-07 07:47:00,114878.82,114905.07,114859.9,114859.9,379,980,0
2025-08-07 07:48:00,114860.38,114888.45,114860.28,114873.53,372,980,0
2025-08-07 07:49:00,114872.7,114881.19,114850.66,114857.6,373,980,0
2025-08-07 07:50:00,114856.92,114881.25,114850.3,114873.21,382,980,0
2025-08-07 07:51:00,114873.12,114900.95,114873.03,114889.15,352,980,0
2025-08-07 07:52:00,114889.62,114903.04,114887.91,114893.78,382,980,0
2025-08-07 07:53:00,114893.96,114900.51,114853.9,114856.96,405,980,0
2025-08-07 07:54:00,114856.87,114887.54,114856.39,114879.65,385,980,0
2025-08-07 07:55:00,114879.67,114902.15,114870.81,114871.54,372,980,0
2025-08-07 07:56:00,114870.8,114891.92,114868.54,114881.75,366,980,0
2025-08-07 07:57:00,114881.64,114895.27,114878.74,114882.2,366,980,0
2025-08-07 07:58:00,114882.19,114889.31,114877.99,114887.93,367,980,0
2025-08-07 07:59:00,114887.93,114900.44,114878.36,114900.44,371,980,0
2025-08-07 08:00:00,114900.44,114926.71,114882.87,114919.05,372,980,0
2025-08-07 08:01:00,114919.06,114974.61,114917.42,114972.61,409,980,0
2025-08-07 08:02:00,114972.46,115094.78,114961.92,115076.16,425,980,0
2025-08-07 08:03:00,115076.07,115109.21,115053.22,115058.9,416,980,0
2025-08-07 08:04:00,115059.87,115123.61,115042.36,115097.0,399,980,0
2025-08-07 08:05:00,115096.53,115098.64,115028.35,115031.04,417,980,0
2025-08-07 08:06:00,115031.04,115064.96,115000.26,115019.66,385,980,0
2025-08-07 08:07:00,115019.59,115050.73,114998.58,115049.16,412,980,0
2025-08-07 08:08:00,115051.11,115094.61,115040.92,115093.07,387,980,0
2025-08-07 08:09:00,115093.74,115095.15,115032.18,115045.52,412,980,0
2025-08-07 08:10:00,115045.61,115089.42,115036.73,115076.93,379,980,0
2025-08-07 08:11:00,115077.07,115079.9,115051.42,115054.25,374,980,0
2025-08-07 08:12:00,115054.45,115057.83,115023.45,115036.82,375,980,0
2025-08-07 08:13:00,115037.33,115045.28,115012.54,115014.51,394,980,0
2025-08-07 08:14:00,115015.19,115069.81,115003.77,115040.97,406,980,0
2025-08-07 08:15:00,115041.18,115065.3,115027.75,115055.45,407,980,0
2025-08-07 08:16:00,115055.6,115058.02,115035.67,115037.3,382,980,0
2025-08-07 08:17:00,115037.7,115068.64,115036.87,115068.32,428,980,0
2025-08-07 08:18:00,115068.37,115103.73,115059.9,115094.48,430,980,0
2025-08-07 08:19:00,115094.29,115151.91,115090.37,115147.78,430,980,0
2025-08-07 08:20:00,115146.77,115146.77,115123.52,115131.63,425,980,0
2025-08-07 08:21:00,115132.18,115234.31,115125.9,115232.43,431,980,0
2025-08-07 08:22:00,115230.45,115242.15,115202.8,115228.4,407,980,0
2025-08-07 08:23:00,115228.4,115231.1,115145.7,115146.54,366,980,0
2025-08-07 08:24:00,115146.98,115219.5,115146.26,115214.76,372,980,0
2025-08-07 08:25:00,115214.96,115219.57,115169.25,115185.26,355,980,0
2025-08-07 08:26:00,115185.34,115297.48,115184.73,115278.57,391,980,0
2025-08-07 08:27:00,115279.08,115280.98,115250.34,115273.87,388,980,0
2025-08-07 08:28:00,115273.34,115273.34,115225.71,115226.06,388,980,0
2025-08-07 08:29:00,115226.25,115259.32,115226.07,115244.54,412,980,0
2025-08-07 08:30:00,115243.69,115248.89,115181.37,115186.39,402,980,0
2025-08-07 08:31:00,115186.41,115192.87,115148.13,115155.43,396,980,0
2025-08-07 08:32:00,115155.23,115164.99,115110.68,115113.9,439,980,0
2025-08-07 08:33:00,115115.21,115124.14,115101.8,115121.29,421,980,0
2025-08-07 08:34:00,115121.3,115139.7,115112.25,115129.0,397,980,0
2025-08-07 08:35:00,115128.67,115138.63,115102.45,115109.14,423,980,0
2025-08-07 08:36:00,115108.71,115123.3,115106.77,115107.39,448,980,0
2025-08-07 08:37:00,115106.97,115120.89,115103.32,115114.92,379,980,0
2025-08-07 08:38:00,115114.51,115173.47,115110.89,115161.89,386,980,0
2025-08-07 08:39:00,115185.07,115196.91,115129.39,115130.12,375,980,0
2025-08-07 08:40:00,115130.85,115136.89,115098.87,115120.15,348,980,0
2025-08-07 08:41:00,115121.62,115155.43,115121.24,115144.95,373,980,0
2025-08-07 08:42:00,115145.56,115150.23,115082.98,115096.85,383,980,0
2025-08-07 08:43:00,115097.35,115134.36,115096.78,115134.31,401,980,0
2025-08-07 08:44:00,115134.3,115171.35,115134.04,115168.25,389,980,0
2025-08-07 08:45:00,115166.42,115183.35,115153.88,115170.99,390,980,0
2025-08-07 08:46:00,115171.75,115179.01,115136.71,115140.44,369,980,0
2025-08-07 08:47:00,115140.62,115149.35,115119.91,115119.91,397,980,0
2025-08-07 08:48:00,115120.92,115126.53,115097.32,115107.65,366,980,0
2025-08-07 08:49:00,115114.47,115114.87,115101.77,115108.07,371,980,0
2025-08-07 08:50:00,115112.99,115138.81,115108.95,115117.91,394,980,0
2025-08-07 08:51:00,115118.05,115144.09,115105.39,115135.41,376,980,0
2025-08-07 08:52:00,115136.66,115154.3,115132.72,115143.65,368,980,0
2025-08-07 08:53:00,115144.36,115144.7,115127.56,115138.54,320,980,0
2025-08-07 08:54:00,115138.54,115146.58,115122.19,115127.39,340,980,0
2025-08-07 08:55:00,115127.45,115164.97,115118.8,115129.74,355,980,0
2025-08-07 08:56:00,115129.71,115139.49,115109.8,115110.54,397,980,0
2025-08-07 08:57:00,115110.67,115121.88,115079.75,115107.76,377,980,0
2025-08-07 08:58:00,115108.99,115111.3,115054.3,115079.48,384,980,0
2025-08-07 08:59:00,115079.47,115079.47,115064.21,115067.0,380,980,0
2025-08-07 09:00:00,115065.93,115094.39,115064.3,115090.39,400,980,0
2025-08-07 09:01:00,115090.56,115090.75,115052.5,115056.26,368,980,0
2025-08-07 09:02:00,115056.33,115061.04,115032.04,115046.47,388,980,0
2025-08-07 09:03:00,115044.78,115050.54,115023.61,115025.86,383,980,0
2025-08-07 09:04:00,115026.27,115141.88,115026.27,115136.25,408,980,0
